onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
435.0	60.0	epochs	1.0	0.04	270.0	0.8
526.0	60.0	epochs	1.0	0.04	270.0	0.2
616.0	60.0	epochs	1.0	0.04	90.0	0.8
707.0	60.0	epochs	1.0	0.04	0.0	0.05
797.0	60.0	epochs	1.0	0.04	315.0	0.1
888.0	60.0	epochs	1.0	0.04	225.0	0.1
978.0	60.0	epochs	1.0	0.04	315.0	0.6
1069.0	60.0	epochs	1.0	0.04	180.0	0.8
1159.0	60.0	epochs	1.0	0.04	180.0	0.05
1250.0	60.0	epochs	1.0	0.04	90.0	0.1
1340.0	60.0	epochs	1.0	0.04	225.0	0.8
1431.0	60.0	epochs	1.0	0.04	270.0	0.05
1521.0	60.0	epochs	1.0	0.04	90.0	0.1
1612.0	60.0	epochs	1.0	0.04	0.0	0.6
1703.0	59.0	epochs	1.0	0.04	225.0	0.6
1793.0	60.0	epochs	1.0	0.04	45.0	0.6
1884.0	59.0	epochs	1.0	0.04	45.0	0.2
1974.0	60.0	epochs	1.0	0.04	135.0	0.6
2065.0	59.0	epochs	1.0	0.04	135.0	0.1
2155.0	60.0	epochs	1.0	0.04	90.0	0.2
2246.0	59.0	epochs	1.0	0.04	90.0	0.05
2336.0	60.0	epochs	1.0	0.04	180.0	0.1
2427.0	60.0	epochs	1.0	0.04	315.0	0.2
2517.0	60.0	epochs	1.0	0.04	225.0	0.6
2608.0	60.0	epochs	1.0	0.04	270.0	0.6
2698.0	60.0	epochs	1.0	0.04	45.0	0.6
2789.0	60.0	epochs	1.0	0.04	315.0	0.6
2879.0	60.0	epochs	1.0	0.04	135.0	0.8
2970.0	60.0	epochs	1.0	0.04	270.0	0.2
3060.0	60.0	epochs	1.0	0.04	315.0	0.6
3151.0	60.0	epochs	1.0	0.04	90.0	0.8
3241.0	60.0	epochs	1.0	0.04	180.0	0.2
3332.0	60.0	epochs	1.0	0.04	135.0	0.1
3422.0	60.0	epochs	1.0	0.04	225.0	0.1
3513.0	60.0	epochs	1.0	0.04	180.0	0.8
3603.0	60.0	epochs	1.0	0.04	270.0	0.4
3694.0	60.0	epochs	1.0	0.04	90.0	0.8
3785.0	59.0	epochs	1.0	0.04	315.0	0.4
3875.0	60.0	epochs	1.0	0.04	0.0	0.05
3966.0	59.0	epochs	1.0	0.04	315.0	0.4
4056.0	60.0	epochs	1.0	0.04	135.0	0.05
4147.0	59.0	epochs	1.0	0.04	225.0	0.1
4237.0	60.0	epochs	1.0	0.04	180.0	0.4
4328.0	60.0	epochs	1.0	0.04	270.0	0.1
4418.0	60.0	epochs	1.0	0.04	180.0	0.1
4509.0	60.0	epochs				
4599.0	60.0	epochs	1.0	0.04	90.0	0.6
4690.0	60.0	epochs	1.0	0.04	315.0	0.4
4780.0	60.0	epochs	1.0	0.04	45.0	0.6
4871.0	60.0	epochs	1.0	0.04	315.0	0.2
4961.0	60.0	epochs	1.0	0.04	135.0	0.2
5052.0	60.0	epochs	1.0	0.04	180.0	0.1
5142.0	60.0	epochs	1.0	0.04	135.0	0.05
5233.0	60.0	epochs	1.0	0.04	270.0	0.4
5323.0	60.0	epochs	1.0	0.04	180.0	0.4
5414.0	60.0	epochs	1.0	0.04	180.0	0.6
5504.0	60.0	epochs	1.0	0.04	270.0	0.05
5595.0	60.0	epochs	1.0	0.04	135.0	0.4
5685.0	60.0	epochs	1.0	0.04	45.0	0.1
5776.0	60.0	epochs	1.0	0.04	315.0	0.05
5867.0	59.0	epochs	1.0	0.04	180.0	0.4
5957.0	60.0	epochs	1.0	0.04	315.0	0.6
6048.0	59.0	epochs	1.0	0.04	270.0	0.1
6138.0	60.0	epochs	1.0	0.04	135.0	0.6
6229.0	59.0	epochs	1.0	0.04	0.0	0.1
6319.0	60.0	epochs	1.0	0.04	90.0	0.4
6410.0	60.0	epochs	1.0	0.04	135.0	0.4
6500.0	60.0	epochs	1.0	0.04	90.0	0.8
6591.0	60.0	epochs	1.0	0.04	315.0	0.4
6681.0	60.0	epochs	1.0	0.04	315.0	0.1
6772.0	60.0	epochs				
6862.0	60.0	epochs	1.0	0.04	270.0	0.05
6953.0	60.0	epochs	1.0	0.04	135.0	0.8
7043.0	60.0	epochs	1.0	0.04	225.0	0.1
