onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
445.0	59.0	epochs	1.0	0.04	270.0	0.8
535.0	60.0	epochs	1.0	0.04	225.0	0.1
625.0	60.0	epochs	1.0	0.04	180.0	0.2
716.0	59.0	epochs	1.0	0.04	90.0	0.6
806.0	60.0	epochs	1.0	0.04	225.0	0.2
896.0	60.0	epochs	1.0	0.04	180.0	0.1
987.0	59.0	epochs	1.0	0.04	315.0	0.05
1077.0	60.0	epochs	1.0	0.04	225.0	0.2
1167.0	60.0	epochs	1.0	0.04	0.0	0.05
1258.0	59.0	epochs	1.0	0.04	270.0	0.2
1348.0	60.0	epochs	1.0	0.04	315.0	0.05
1438.0	60.0	epochs	1.0	0.04	135.0	0.4
1529.0	59.0	epochs	1.0	0.04	90.0	0.2
1619.0	60.0	epochs	1.0	0.04	315.0	0.4
1709.0	60.0	epochs	1.0	0.04	90.0	0.8
1799.0	60.0	epochs	1.0	0.04	0.0	0.4
1890.0	59.0	epochs	1.0	0.04	135.0	0.4
1980.0	60.0	epochs	1.0	0.04	225.0	0.1
2070.0	60.0	epochs	1.0	0.04	135.0	0.1
2161.0	59.0	epochs	1.0	0.04	135.0	0.6
2251.0	60.0	epochs	1.0	0.04	315.0	0.2
2341.0	60.0	epochs	1.0	0.04	180.0	0.1
2432.0	59.0	epochs	1.0	0.04	90.0	0.2
2522.0	60.0	epochs	1.0	0.04	135.0	0.8
2612.0	60.0	epochs	1.0	0.04	45.0	0.05
2703.0	59.0	epochs	1.0	0.04	90.0	0.6
2793.0	60.0	epochs	1.0	0.04	135.0	0.2
2883.0	60.0	epochs	1.0	0.04	45.0	0.1
2974.0	59.0	epochs	1.0	0.04	315.0	0.05
3064.0	60.0	epochs	1.0	0.04	45.0	0.1
3154.0	60.0	epochs	1.0	0.04	315.0	0.1
3244.0	60.0	epochs	1.0	0.04	90.0	0.4
3335.0	59.0	epochs	1.0	0.04	315.0	0.4
3425.0	60.0	epochs	1.0	0.04	315.0	0.2
3515.0	60.0	epochs	1.0	0.04	45.0	0.1
3606.0	59.0	epochs	1.0	0.04	180.0	0.8
3696.0	60.0	epochs	1.0	0.04	180.0	0.4
3786.0	60.0	epochs	1.0	0.04	135.0	0.2
3877.0	59.0	epochs	1.0	0.04	90.0	0.05
3967.0	60.0	epochs	1.0	0.04	45.0	0.8
4057.0	60.0	epochs	1.0	0.04	0.0	0.4
4148.0	59.0	epochs	1.0	0.04	45.0	0.05
4238.0	60.0	epochs	1.0	0.04	315.0	0.05
4328.0	60.0	epochs	1.0	0.04	270.0	0.2
4419.0	59.0	epochs	1.0	0.04	270.0	0.8
4509.0	60.0	epochs	1.0	0.04	270.0	0.8
4599.0	60.0	epochs	1.0	0.04	315.0	0.2
4689.0	60.0	epochs	1.0	0.04	45.0	0.05
4780.0	59.0	epochs	1.0	0.04	90.0	0.4
4870.0	60.0	epochs	1.0	0.04	135.0	0.05
4960.0	60.0	epochs	1.0	0.04	0.0	0.8
5051.0	59.0	epochs	1.0	0.04	90.0	0.05
5141.0	60.0	epochs	1.0	0.04	225.0	0.05
5231.0	60.0	epochs	1.0	0.04	0.0	0.05
5322.0	59.0	epochs	1.0	0.04	45.0	0.2
5412.0	60.0	epochs				
5502.0	60.0	epochs	1.0	0.04	135.0	0.4
5593.0	59.0	epochs	1.0	0.04	135.0	0.2
5683.0	60.0	epochs				
5773.0	60.0	epochs	1.0	0.04	45.0	0.6
5864.0	59.0	epochs	1.0	0.04	315.0	0.6
5954.0	60.0	epochs	1.0	0.04	180.0	0.1
6044.0	60.0	epochs	1.0	0.04	135.0	0.4
6134.0	60.0	epochs	1.0	0.04	45.0	0.6
6225.0	59.0	epochs	1.0	0.04	90.0	0.1
6315.0	60.0	epochs	1.0	0.04	135.0	0.6
6405.0	60.0	epochs	1.0	0.04	0.0	0.6
6496.0	59.0	epochs	1.0	0.04	180.0	0.6
6586.0	60.0	epochs	1.0	0.04	90.0	0.4
6676.0	60.0	epochs	1.0	0.04	270.0	0.1
6767.0	59.0	epochs	1.0	0.04	270.0	0.1
6857.0	60.0	epochs	1.0	0.04	45.0	0.05
6947.0	60.0	epochs	1.0	0.04	135.0	0.2
7038.0	59.0	epochs	1.0	0.04	180.0	0.6
7128.0	60.0	epochs	1.0	0.04	270.0	0.05
7218.0	60.0	epochs	1.0	0.04	270.0	0.05
7309.0	59.0	epochs	1.0	0.04	270.0	0.1
7399.0	60.0	epochs	1.0	0.04	45.0	0.05
7489.0	60.0	epochs	1.0	0.04	225.0	0.4
7579.0	60.0	epochs	1.0	0.04	90.0	0.8
7670.0	59.0	epochs	1.0	0.04	315.0	0.2
7760.0	60.0	epochs	1.0	0.04	45.0	0.8
7850.0	60.0	epochs	1.0	0.04	180.0	0.1
7941.0	59.0	epochs	1.0	0.04	135.0	0.2
8031.0	60.0	epochs	1.0	0.04	225.0	0.05
8121.0	60.0	epochs	1.0	0.04	45.0	0.4
8212.0	59.0	epochs	1.0	0.04	225.0	0.6
8302.0	60.0	epochs	1.0	0.04	90.0	0.05
8392.0	60.0	epochs	1.0	0.04	90.0	0.1
8483.0	59.0	epochs	1.0	0.04	225.0	0.1
8573.0	60.0	epochs	1.0	0.04	0.0	0.05
8663.0	60.0	epochs	1.0	0.04	45.0	0.4
8754.0	59.0	epochs	1.0	0.04	225.0	0.8
8844.0	60.0	epochs	1.0	0.04	135.0	0.4
8934.0	60.0	epochs	1.0	0.04	180.0	0.05
9024.0	60.0	epochs	1.0	0.04	225.0	0.2
9115.0	59.0	epochs	1.0	0.04	180.0	0.8
9205.0	60.0	epochs	1.0	0.04	45.0	0.1
9295.0	60.0	epochs	1.0	0.04	0.0	0.6
9386.0	59.0	epochs	1.0	0.04	0.0	0.6
9476.0	60.0	epochs	1.0	0.04	315.0	0.8
9566.0	60.0	epochs	1.0	0.04	270.0	0.2
9657.0	59.0	epochs	1.0	0.04	315.0	0.05
9747.0	60.0	epochs	1.0	0.04	180.0	0.05
9837.0	60.0	epochs	1.0	0.04	135.0	0.1
9928.0	59.0	epochs	1.0	0.04	45.0	0.05
10018.0	60.0	epochs	1.0	0.04	225.0	0.1
10108.0	60.0	epochs	1.0	0.04	0.0	0.8
10199.0	59.0	epochs	1.0	0.04	180.0	0.4
10289.0	60.0	epochs	1.0	0.04	90.0	0.8
10379.0	60.0	epochs	1.0	0.04	180.0	0.1
10469.0	60.0	epochs	1.0	0.04	315.0	0.2
10560.0	59.0	epochs	1.0	0.04	270.0	0.4
10650.0	60.0	epochs	1.0	0.04	90.0	0.1
10740.0	60.0	epochs	1.0	0.04	270.0	0.8
10831.0	59.0	epochs	1.0	0.04	135.0	0.05
10921.0	60.0	epochs	1.0	0.04	270.0	0.8
11011.0	60.0	epochs	1.0	0.04	0.0	0.2
11102.0	59.0	epochs	1.0	0.04	315.0	0.05
11192.0	60.0	epochs	1.0	0.04	135.0	0.2
11282.0	60.0	epochs	1.0	0.04	135.0	0.1
11373.0	59.0	epochs	1.0	0.04	270.0	0.4
11463.0	60.0	epochs	1.0	0.04	270.0	0.05
11553.0	60.0	epochs	1.0	0.04	135.0	0.1
11644.0	59.0	epochs	1.0	0.04	270.0	0.1
11734.0	60.0	epochs	1.0	0.04	0.0	0.05
