onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
206.0	60.0	epochs				
296.0	60.0	epochs	1.0	0.04	0.0	0.05
387.0	59.0	epochs	1.0	0.04	270.0	0.4
477.0	60.0	epochs	1.0	0.04	180.0	0.1
567.0	60.0	epochs	1.0	0.04	270.0	0.05
658.0	59.0	epochs	1.0	0.04	0.0	0.2
748.0	60.0	epochs	1.0	0.04	270.0	0.4
838.0	60.0	epochs	1.0	0.04	270.0	0.6
929.0	59.0	epochs	1.0	0.04	315.0	0.6
1019.0	60.0	epochs	1.0	0.04	0.0	0.6
1109.0	60.0	epochs	1.0	0.04	90.0	0.8
1199.0	60.0	epochs	1.0	0.04	90.0	0.6
1290.0	60.0	epochs	1.0	0.04	180.0	0.05
1380.0	60.0	epochs	1.0	0.04	45.0	0.8
1470.0	60.0	epochs	1.0	0.04	45.0	0.2
1561.0	59.0	epochs	1.0	0.04	225.0	0.2
1651.0	60.0	epochs	1.0	0.04	315.0	0.6
1741.0	60.0	epochs	1.0	0.04	270.0	0.8
1832.0	59.0	epochs	1.0	0.04	315.0	0.8
1922.0	60.0	epochs	1.0	0.04	135.0	0.05
2012.0	60.0	epochs	1.0	0.04	315.0	0.4
2103.0	59.0	epochs	1.0	0.04	315.0	0.05
2193.0	60.0	epochs	1.0	0.04	90.0	0.4
2283.0	60.0	epochs	1.0	0.04	0.0	0.1
2374.0	59.0	epochs	1.0	0.04	180.0	0.8
2464.0	60.0	epochs	1.0	0.04	225.0	0.1
2554.0	60.0	epochs	1.0	0.04	135.0	0.1
2644.0	60.0	epochs	1.0	0.04	180.0	0.1
2735.0	60.0	epochs	1.0	0.04	135.0	0.4
2825.0	60.0	epochs	1.0	0.04	180.0	0.8
2915.0	60.0	epochs	1.0	0.04	225.0	0.4
3006.0	59.0	epochs				
3096.0	60.0	epochs	1.0	0.04	90.0	0.6
3186.0	60.0	epochs	1.0	0.04	225.0	0.2
3277.0	59.0	epochs	1.0	0.04	270.0	0.1
3367.0	60.0	epochs	1.0	0.04	180.0	0.8
3457.0	60.0	epochs	1.0	0.04	315.0	0.8
3548.0	59.0	epochs	1.0	0.04	0.0	0.8
3638.0	60.0	epochs	1.0	0.04	135.0	0.05
3728.0	60.0	epochs	1.0	0.04	225.0	0.1
3819.0	59.0	epochs	1.0	0.04	45.0	0.05
3909.0	60.0	epochs	1.0	0.04	315.0	0.6
3999.0	60.0	epochs	1.0	0.04	45.0	0.8
4089.0	60.0	epochs	1.0	0.04	225.0	0.1
4180.0	60.0	epochs	1.0	0.04	315.0	0.2
4270.0	60.0	epochs	1.0	0.04	90.0	0.8
4360.0	60.0	epochs	1.0	0.04	45.0	0.6
4451.0	59.0	epochs	1.0	0.04	90.0	0.8
4541.0	60.0	epochs	1.0	0.04	135.0	0.8
4631.0	60.0	epochs	1.0	0.04	45.0	0.6
4722.0	59.0	epochs	1.0	0.04	315.0	0.8
4812.0	60.0	epochs	1.0	0.04	90.0	0.6
4902.0	60.0	epochs	1.0	0.04	90.0	0.6
4993.0	59.0	epochs	1.0	0.04	180.0	0.2
5083.0	60.0	epochs	1.0	0.04	225.0	0.4
5173.0	60.0	epochs	1.0	0.04	270.0	0.8
5264.0	59.0	epochs	1.0	0.04	135.0	0.8
5354.0	60.0	epochs	1.0	0.04	45.0	0.8
5444.0	60.0	epochs	1.0	0.04	225.0	0.8
5534.0	60.0	epochs	1.0	0.04	270.0	0.05
5625.0	60.0	epochs	1.0	0.04	315.0	0.05
5715.0	60.0	epochs	1.0	0.04	270.0	0.1
5805.0	60.0	epochs	1.0	0.04	0.0	0.1
5896.0	59.0	epochs	1.0	0.04	90.0	0.6
5986.0	60.0	epochs	1.0	0.04	45.0	0.8
6076.0	60.0	epochs				
6167.0	59.0	epochs	1.0	0.04	315.0	0.4
6257.0	60.0	epochs	1.0	0.04	270.0	0.4
6347.0	60.0	epochs	1.0	0.04	270.0	0.8
6438.0	59.0	epochs	1.0	0.04	225.0	0.2
6528.0	60.0	epochs	1.0	0.04	90.0	0.8
6618.0	60.0	epochs	1.0	0.04	45.0	0.8
6709.0	59.0	epochs	1.0	0.04	0.0	0.4
6799.0	60.0	epochs	1.0	0.04	0.0	0.05
6889.0	60.0	epochs	1.0	0.04	0.0	0.4
6979.0	60.0	epochs	1.0	0.04	135.0	0.8
