onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
204.0	60.0	epochs	1.0	0.04	90.0	0.2
295.0	59.0	epochs	1.0	0.04	270.0	0.4
385.0	60.0	epochs	1.0	0.04	180.0	0.1
475.0	60.0	epochs	1.0	0.04	315.0	0.05
566.0	59.0	epochs	1.0	0.04	315.0	0.2
656.0	60.0	epochs	1.0	0.04	90.0	0.05
746.0	60.0	epochs	1.0	0.04	90.0	0.4
837.0	59.0	epochs	1.0	0.04	180.0	0.8
927.0	60.0	epochs	1.0	0.04	180.0	0.2
1017.0	60.0	epochs	1.0	0.04	90.0	0.8
1107.0	60.0	epochs	1.0	0.04	180.0	0.2
1198.0	59.0	epochs	1.0	0.04	315.0	0.8
1288.0	60.0	epochs	1.0	0.04	315.0	0.4
1378.0	60.0	epochs	1.0	0.04	225.0	0.6
1469.0	59.0	epochs	1.0	0.04	270.0	0.6
1559.0	60.0	epochs	1.0	0.04	90.0	0.4
1649.0	60.0	epochs	1.0	0.04	90.0	0.4
1740.0	59.0	epochs	1.0	0.04	225.0	0.05
1830.0	60.0	epochs	1.0	0.04	135.0	0.4
1920.0	60.0	epochs	1.0	0.04	180.0	0.6
2011.0	59.0	epochs	1.0	0.04	225.0	0.8
2101.0	60.0	epochs	1.0	0.04	90.0	0.8
2191.0	60.0	epochs	1.0	0.04	0.0	0.1
2282.0	59.0	epochs	1.0	0.04	0.0	0.05
2372.0	60.0	epochs	1.0	0.04	90.0	0.1
2462.0	60.0	epochs	1.0	0.04	270.0	0.6
2553.0	59.0	epochs	1.0	0.04	45.0	0.8
2643.0	60.0	epochs	1.0	0.04	135.0	0.6
2733.0	60.0	epochs	1.0	0.04	45.0	0.4
2823.0	60.0	epochs	1.0	0.04	225.0	0.1
2914.0	60.0	epochs				
3004.0	60.0	epochs	1.0	0.04	270.0	0.2
3094.0	60.0	epochs	1.0	0.04	225.0	0.8
3185.0	59.0	epochs	1.0	0.04	135.0	0.6
3275.0	60.0	epochs	1.0	0.04	180.0	0.8
3365.0	60.0	epochs	1.0	0.04	270.0	0.05
3456.0	59.0	epochs	1.0	0.04	180.0	0.8
3546.0	60.0	epochs	1.0	0.04	225.0	0.1
3636.0	60.0	epochs	1.0	0.04	0.0	0.6
3727.0	59.0	epochs				
3817.0	60.0	epochs	1.0	0.04	135.0	0.2
3907.0	60.0	epochs	1.0	0.04	90.0	0.2
3998.0	59.0	epochs	1.0	0.04	135.0	0.05
4088.0	60.0	epochs	1.0	0.04	90.0	0.05
4178.0	60.0	epochs	1.0	0.04	315.0	0.1
4269.0	59.0	epochs	1.0	0.04	315.0	0.2
4359.0	60.0	epochs	1.0	0.04	90.0	0.2
4449.0	60.0	epochs	1.0	0.04	90.0	0.1
4540.0	59.0	epochs	1.0	0.04	0.0	0.6
4630.0	60.0	epochs	1.0	0.04	0.0	0.2
4720.0	60.0	epochs	1.0	0.04	0.0	0.4
4810.0	60.0	epochs	1.0	0.04	225.0	0.6
4901.0	59.0	epochs	1.0	0.04	270.0	0.4
4991.0	60.0	epochs	1.0	0.04	180.0	0.05
5081.0	60.0	epochs	1.0	0.04	90.0	0.1
5172.0	59.0	epochs	1.0	0.04	0.0	0.8
5262.0	60.0	epochs	1.0	0.04	0.0	0.4
5352.0	60.0	epochs	1.0	0.04	270.0	0.4
5443.0	59.0	epochs	1.0	0.04	315.0	0.6
5533.0	60.0	epochs	1.0	0.04	135.0	0.05
5623.0	60.0	epochs	1.0	0.04	270.0	0.1
5714.0	59.0	epochs	1.0	0.04	135.0	0.1
5804.0	60.0	epochs	1.0	0.04	180.0	0.8
5894.0	60.0	epochs	1.0	0.04	45.0	0.8
5985.0	59.0	epochs	1.0	0.04	270.0	0.8
6075.0	60.0	epochs				
6165.0	60.0	epochs	1.0	0.04	135.0	0.1
6256.0	59.0	epochs	1.0	0.04	315.0	0.8
6346.0	60.0	epochs	1.0	0.04	225.0	0.05
6436.0	60.0	epochs	1.0	0.04	315.0	0.4
6526.0	60.0	epochs	1.0	0.04	135.0	0.2
6617.0	60.0	epochs	1.0	0.04	225.0	0.6
6707.0	60.0	epochs	1.0	0.04	315.0	0.2
6797.0	60.0	epochs	1.0	0.04	90.0	0.8
6888.0	59.0	epochs	1.0	0.04	270.0	0.05
6978.0	60.0	epochs	1.0	0.04	90.0	0.6
7068.0	60.0	epochs	1.0	0.04	0.0	0.6
7159.0	59.0	epochs	1.0	0.04	315.0	0.6
7249.0	60.0	epochs	1.0	0.04	270.0	0.2
7339.0	60.0	epochs	1.0	0.04	225.0	0.2
7430.0	59.0	epochs	1.0	0.04	90.0	0.05
7520.0	60.0	epochs	1.0	0.04	225.0	0.2
7610.0	60.0	epochs	1.0	0.04	315.0	0.4
7701.0	59.0	epochs	1.0	0.04	0.0	0.2
